timestamp,heart_rate,cadence,distance,latitude,longitude,lat_prev,lon_prev,distance_segment_m,distance_cumulative_km,time_delta_s,speed_mps,pace_min_per_km
2025-04-25 20:19:35+00:00,129,78,280.17,34.607027135789394,-98.4225174318999,34.60703384131193,-98.42253050766885,1.409985285872057,0.19972725806602978,1.0,1.409985285872057,11.820477963138366
2025-04-25 20:19:36+00:00,128,78,281.62,34.607020849362016,-98.42250351794064,34.607027135789394,-98.4225174318999,1.4526613044895447,0.20117991937051932,1.0,1.4526613044895447,11.473218119385761
2025-04-25 20:19:37+00:00,130,0,281.97,34.607019843533635,-98.42249991372228,34.607020849362016,-98.42250351794064,0.3483067050909433,0.20152822607561027,1.0,0.3483067050909433,47.85064357474342
2025-04-25 20:19:38+00:00,131,0,282.5,34.60702143609524,-98.42250678688288,34.607019843533635,-98.42249991372228,0.653489385564567,0.20218171546117483,1.0,0.653489385564567,25.504163293488215
2025-04-25 20:19:39+00:00,131,0,282.71,34.60702336393297,-98.422507122159,34.60702143609524,-98.42250678688288,0.2165510773647797,0.20239826653853962,1.0,0.2165510773647797,76.96429037813093
2025-04-25 20:19:40+00:00,130,0,282.76,34.60702386684716,-98.42250628396869,34.60702336393297,-98.422507122159,0.09493131045795422,0.20249319784899758,1.0,0.09493131045795422,175.56588990080152
2025-04-25 20:19:41+00:00,131,0,282.81,34.60702436976135,-98.4225057810545,34.60702386684716,-98.42250628396869,0.07242738588564826,0.20256562523488322,1.0,0.07242738588564826,230.11599543733587
2025-04-25 20:19:42+00:00,130,0,282.94,34.60702562704682,-98.42250494286418,34.60702436976135,-98.4225057810545,0.15946747918174053,0.20272509271406494,1.0,0.15946747918174053,104.51472667355227
2025-04-25 20:19:43+00:00,130,0,283.06,34.60702680051327,-98.42250443994999,34.60702562704682,-98.42250494286418,0.13836364215673919,0.2028634563562217,1.0,0.13836364215673919,120.45577682264144
2025-04-25 20:19:44+00:00,131,0,283.15,34.60702780634165,-98.42250402085483,34.60702680051327,-98.42250443994999,0.11823737351480662,0.20298169372973648,1.0,0.11823737351480662,140.95966025423309
2025-04-25 20:19:45+00:00,130,0,283.23,34.60702856071293,-98.42250351794064,34.60702780634165,-98.42250402085483,0.09568048680772574,0.20307737421654423,1.0,0.09568048680772574,174.1912123993734
2025-04-25 20:19:46+00:00,131,0,283.34,34.607029650360346,-98.42250284738839,34.60702856071293,-98.42250351794064,0.13581901138758568,0.2032131932279318,1.0,0.13581901138758568,122.71257042534616
2025-04-25 20:19:47+00:00,132,0,283.45,34.60703074000776,-98.42250192537904,34.607029650360346,-98.42250284738839,0.14765195281247673,0.2033608451807443,1.0,0.14765195281247673,112.87829034789202
2025-04-25 20:19:48+00:00,131,0,283.48,34.607031075283885,-98.42250142246485,34.60703074000776,-98.42250192537904,0.05923157596507103,0.20342007675670937,1.0,0.05923157596507103,281.3820116795201
2025-04-25 20:19:49+00:00,133,0,283.48,34.607031075283885,-98.42250142246485,34.607031075283885,-98.42250142246485,0.0,0.20342007675670937,1.0,0.0,
2025-04-25 20:19:50+00:00,133,0,283.48,34.607031075283885,-98.42250142246485,34.607031075283885,-98.42250142246485,0.0,0.20342007675670937,1.0,0.0,
2025-04-25 20:19:51+00:00,133,0,283.48,34.607031075283885,-98.42250142246485,34.607031075283885,-98.42250142246485,0.0,0.20342007675670937,1.0,0.0,
2025-04-25 20:19:52+00:00,134,0,283.48,34.607031075283885,-98.42250142246485,34.607031075283885,-98.42250142246485,0.0,0.20342007675670937,1.0,0.0,
2025-04-25 20:19:53+00:00,134,0,283.48,34.607031075283885,-98.42250142246485,34.607031075283885,-98.42250142246485,0.0,0.20342007675670937,1.0,0.0,
2025-04-25 20:19:54+00:00,136,0,283.48,34.607031075283885,-98.42250142246485,34.607031075283885,-98.42250142246485,0.0,0.20342007675670937,1.0,0.0,
2025-04-25 20:19:55+00:00,138,0,283.48,34.607031075283885,-98.42250142246485,34.607031075283885,-98.42250142246485,0.0,0.20342007675670937,1.0,0.0,
